subject_ids,classifications,workflow_id,workflow_version,file-name,advance,flag
13289610,5,427,6.20,,advance,1
13289611,5,427,6.20,,advance,1
13289612,5,427,6.20,,advance,1
13289613,5,427,6.20,,advance,1
13289614,5,427,6.20,,advance,1
13289615,5,427,6.20,,advance,1
13289616,5,427,6.20,,advance,1
13289617,5,427,6.20,,advance,1
13289618,5,427,6.20,,retire,0
13289619,5,427,6.20,,retire,0
13289620,5,427,6.20,,advance,1
13289621,5,427,6.20,,advance,1
13289622,5,427,6.20,,advance,1
13289623,6,427,6.20,,advance,1
13289624,5,427,6.20,,advance,1
13289625,5,427,6.20,,advance,1
13289626,5,427,6.20,,retire,0
13289627,5,427,6.20,,advance,1
13289628,5,427,6.20,,advance,1
13289629,5,427,6.20,,advance,1
13289630,5,427,6.20,,advance,1
13289631,5,427,6.20,,advance,1
13289632,5,427,6.20,,retire,0
13289633,5,427,6.20,,advance,1
13289634,5,427,6.20,,advance,1
13289635,5,427,6.20,,advance,1
13289636,5,427,6.20,,advance,1
13289637,5,427,6.20,,advance,1
13289638,5,427,6.20,,advance,1
13289639,5,427,6.20,,advance,1
13289640,5,427,6.20,,advance,1
13289641,5,427,6.20,,advance,1
13289642,5,427,6.20,,advance,1
13289643,5,427,6.20,,advance,1
13289644,5,427,6.20,,advance,1
13289645,5,427,6.20,,advance,1
13289646,5,427,6.20,,advance,1
13289647,5,427,6.20,,advance,1
13289648,5,427,6.20,,advance,1
13289649,5,427,6.20,,advance,1
13289650,5,427,6.20,,advance,1
13289651,5,427,6.20,,retire,0
13289652,5,427,6.20,,advance,1
13289653,5,427,6.20,,advance,1
13289654,5,427,6.20,,advance,1
13289655,5,427,6.20,,retire,0
13289656,5,427,6.20,,advance,1
13289657,5,427,6.20,,advance,1
13289658,5,427,6.20,,advance,1
13289659,5,427,6.20,,retire,0
13289660,5,427,6.20,,advance,1
13289661,5,427,6.20,,advance,1
13289662,5,427,6.20,,advance,1
13289663,5,427,6.20,,advance,1
